Reference number,Company Payment Type,Delivering City,Shipment Details,Cash on Delivery,Exp Delivery Fees,Shipment Status,Creation Date,Perfume_Count
251026F,Pay After Delivery,Mafraq,ذا ون ١٠٠/هيرمز ١٠٠/يو انتنسلي٥٠/ كريد وايت ٥٠,34,1٫75,No,10/27/2024 12:37:51 AM,4
251027F,Pay After Delivery,Amman,ايروس١٠٠,19,1٫5,yes,10/27/2024 12:37:51 AM,1
251028F,Pay After Delivery,Irbid,"جوتشي فلور جديد١٠٠/فرزاتشي كريستال نوير١٠٠ / امير ليذر ١٠٠ عدد ثلاث/ يو ١٠٠ عددثلاث /واي ١٠٠/ كنج ١٠""",100,1٫75,yes,10/27/2024 12:37:51 AM,10
251029F,Pay After Delivery,Amman,ون مليون ١٠٠/مونت بلانك وايت ٥٩/ ايروس١٠٠/ سوفاج ٥٠,34,1٫5,yes,10/27/2024 12:37:51 AM,4
251030F,Pay After Delivery,Maan,سكاندل رحالي ١٠٠/ يو انتنسلي ١٠٠/روز فانيلا ٥٠/سبايس بومب اكستريم ٥٠,34,1٫75,yes,10/27/2024 12:37:51 AM,4
251031F,Pay After Delivery,Mafraq,امبر ليذر ١٠٠/يو انتنسلي ١٠٠/ سبايس بومب اكستريم غ٥٠/بلاك اوركيد ٥٠,34,1٫75,yes,10/27/2024 12:37:51 AM,4
251032F,Pay After Delivery,Irbid,سوفاج الكسير ١٠٠,19,1٫75,yes,10/27/2024 12:37:51 AM,1
24101w,Pay After Delivery,Amman,ديزاير بلو+مانسيرا روز فانيلا +دولتشي غابانا كوين +فرزاتشي كريستال نوار +جود جيرل ,0,1٫5,yes,10/27/2024 12:37:52 AM,4
24102w,Pay After Delivery,Amman,100مل ايروس +100مل ليبر +50مل فرزاتشي كريستال نوار +50مل اف سان لوران واي ,34,1٫5,yes,10/27/2024 12:37:52 AM,4
24103w,Pay After Delivery,Amman,100مل دولتشي غابانا ذا ون+100مل دولتشي غابانا كينغ +50مل توم فورد اومبير ليذر ,0,1٫5,yes,10/27/2024 12:37:52 AM,3
24104w,Pay After Delivery,Amman,50مل بلاك اوبيوم ,10,1٫5,yes,10/27/2024 12:37:52 AM,1
24105w,Pay After Delivery,Amman,100مل كريد افنتوس وايت ,17,1٫5,No,10/27/2024 12:37:52 AM,1
24106w,Pay After Delivery,Amman,100مل انتنسو +100مل ارسيتستبل جفنشي +50مل فكتوريا سيكرت فيري سيكسي +50مل ديلينا ,34,1٫5,yes,10/27/2024 12:37:52 AM,4
24107w,Pay After Delivery,Amman,100مل لينترديت +100مل برادا +50مل دولتشي غابانا ديفوشن انتنس+غوتشي فلورا ,34,1٫5,yes,10/27/2024 12:37:52 AM,4
24108w,Pay After Delivery,Zarqa,100مل ليبر +100مل تايجر +50مل سكاندل رجالي +50مل ايلي صعب ,34,1٫75,yes,10/27/2024 12:37:52 AM,4
24109w,Pay After Delivery,Irbid,100مل سوفاج +100مل لينفين +50مل ايروس +50مل بلو شانيل ,34,1٫75,yes,10/27/2024 12:37:52 AM,4
241010w,Pay After Delivery,Karak,100مل سترونجر ويذ يو +100مل مونت بلانك ليجند +50مل توم فورد اومبير ليذر +50مل كريد افنتوس ,34,1٫75,yes,10/27/2024 12:37:52 AM,4
241011w,Pay After Delivery,Zarqa,100مل انفكتوس بلاتنيوم+100مل ماي واي +50مل لانكوم لافي بيل +50مل بلو شانيل ,34,1٫75,No,10/27/2024 12:37:52 AM,4
241012w,Pay After Delivery,Amman,100مل جان بول لو ميل الكسير ,17,1٫5,yes,10/27/2024 12:37:52 AM,1
241013w,Pay After Delivery,Amman,100مل سكاندل رجالي +50مل توم فورد اومبير ليذر +50مل دولتشي غابانا ذا ون ,0,1٫5,yes,10/27/2024 12:37:52 AM,3
241014w,Pay After Delivery,Amman,50مل سي احمر ,10,1٫5,yes,10/27/2024 12:37:52 AM,1
241016w,Pay After Delivery,Irbid,100مل سوفاج +100مل بلو شانيل ,25,1٫75,No,10/27/2024 12:37:52 AM,2
241017w,Pay After Delivery,Amman,100مل فلانتينو ستاتي +100مل دولتشي غابانا ذا ون +50مل ليبر +50مل بلو شانيل ,34,1٫5,yes,10/27/2024 12:37:52 AM,4
241018w,Pay After Delivery,Irbid,100مل جنتل مان جفنشي +100مل فكتوريا سيكرت فيري سيكسي +50مل التراميل +50مل سكاندل ,34,1٫75,yes,10/27/2024 12:37:52 AM,4
25101w,Pay After Delivery,Amman,50مل توم فورد اومبير ليذر ,10,1٫5,No,10/27/2024 12:37:52 AM,1
25102w,Pay After Delivery,Amman,100مل فكتوريا سيكرت فيري سيكسي +100مل ليبر +50مل سكاندل +50مل مس ديور ,34,1٫5,yes,10/27/2024 12:37:52 AM,4
25103w,Pay After Delivery,Amman,100مل هوجو بوس +100مل باد بوي +50مل اكوا دي جيو بور هوم +50مل بولغاري مان ,34,1٫5,yes,10/27/2024 12:37:52 AM,4
25104w,Pay After Delivery,Amman,100مل سكاندل ستاتي +100مل بويزت +50مل 212 سيكسي ستاتي +50مل ديلينا ,34,1٫5,No,10/27/2024 12:37:52 AM,4
25105w,Pay After Delivery,Madaba,100مل انفكتوس جولوجن +100مل سوفاج +50مل كارتير باشا عدد 2 ,34,1٫75,yes,10/27/2024 12:37:52 AM,4
25107w,Pay After Delivery,Irbid,100مل سترونجر ويذ يو انتنسلي +100مل كريد افنتوس +50مل توكسيدو +50مل ديور هوم انتنس ,34,1٫75,yes,10/27/2024 12:37:52 AM,4
25108w,Pay After Delivery,Salt,100مل لاكوست وايت بلانك +100مل انفكتوس جولوجن +50مل ديلان بلو رجالي +50مل سكاندل باريس ,34,1٫75,yes,10/27/2024 12:37:52 AM,4
25109w,Pay After Delivery,Amman,100مل سوفاج +100مل بلو شانيل +50مل بوم اكسترم+50مل كريد افنتوس ,34,1٫5,yes,10/27/2024 12:37:52 AM,4
251010w,Pay After Delivery,Irbid,100مل ايروس +جنتل مان جفنشي+50مل جابانا ذا ون+50مل اف سان لوران واي ,34,1٫75,yes,10/27/2024 12:37:52 AM,4
251011w,Pay After Delivery,Zarqa,100مل ون مليون ,0,1٫75,yes,10/27/2024 12:37:52 AM,1
251012w,Pay After Delivery,Amman,100مل ليبر انتنس عدد 2 +50مل هوت ستاتي +50مل ايلين  ,34,1٫5,yes,10/27/2024 12:37:52 AM,4
251013w,Pay After Delivery,Amman,100مل جان بول لو ميل الكسير +100مل سوفاج الكسير +50مل ريد توباكو عدد 2 ,34,1٫5,yes,10/27/2024 12:37:52 AM,4
251014w,Pay After Delivery,Madaba,100مل ديور هوم انتنس +100مل مونت بلانك اكسبلور +50مل ايروس +50مل كريد افنتوس ,34,1٫75,yes,10/27/2024 12:37:52 AM,4
251015w,Pay After Delivery,Amman,50مل ديلينا +50مل فكتوريا سيكرت فيري سيكسي ,20,1٫5,yes,10/27/2024 12:37:52 AM,2
251016w,Pay After Delivery,Karak,100مل فلانتينو بورن ان روما ,17,1٫75,yes,10/27/2024 12:37:52 AM,1
251017w,Pay After Delivery,Amman,100مل سكاندل باي نايت+100مل بويزن ,25,1٫5,yes,10/27/2024 12:37:52 AM,2
RTN22109w,Pay After Delivery,Amman,100مل فكتوريا سيكرت فيري سيكسي +50مل 212 سيكسي كارولينا هيريرا,35٫5,1٫5,No,10/27/2024 11:30:46 AM,2
RTN241023F,Pay After Delivery,Salt,ايلي صعب ١٠٠/بكرات روج ٥٠/ عود اصفهان ١٠٠,0,1٫75,No,10/27/2024 11:49:24 AM,3
RTN241020F,Pay After Delivery,Amman,ذا ون ١٠٠/ بلو شانيل ٥٠/يو ٥٠,0,1٫5,No,10/27/2024 11:52:02 AM,3
RTN24109F,Pay After Delivery,Salt,ارماني كود ١٠٠/الترا ميل ١٠٠/سكاندل رجالي٥٠/اكوا جيو بروفومو٥٠,0,1٫75,No,10/27/2024 12:14:52 PM,4
RTN24103F,Pay After Delivery,Irbid,يو عود ١٠٠/ لانوت لاهوم اف سان لوران ٥٠/نرسيسو الابييض ١٠٠/جوتشي عود ستاتي ١٠٠/ ٢١٢ في اي بي روز ٥٠/كارتير باشا ٥٠,0,1٫75,No,10/27/2024 1:12:56 PM,6
RTN241034F,Pay After Delivery,Salt,نرسيسو ١٠٠,0,1٫75,No,10/27/2024 1:41:20 PM,1
RTN241013w,Pay After Delivery,Amman,100مل سكاندل رجالي +50مل توم فورد اومبير ليذر +50مل دولتشي غابانا ذا ون ,0,1٫5,No,10/27/2024 2:29:03 PM,3
RTN241010F,Pay After Delivery,Amman,ايروس ١٠٠,0,1٫5,No,10/27/2024 5:59:30 PM,1
26101F,Pay After Delivery,Amman,لافي بيل ١٠٠/بويزن ١٠٠/ليبر٥٠/جود جيرل ٥٠,34,1٫5,yes,10/28/2024 12:55:11 AM,4
26102F,Pay After Delivery,Madaba,بربري تاتش رجالي ١٠٠/واي ١٠٠/سكاندل بور هوم ٥٠/ امبر ليذر ٥٠,34,1٫75,yes,10/28/2024 12:55:11 AM,4
26104F,Pay After Delivery,Amman,ايفوريا انتنس رجالي ٥٠,12,1٫5,yes,10/28/2024 12:55:12 AM,1
26105F,Pay After Delivery,Rumtha,عود اصفهان ٥٠,0,1٫75,yes,10/28/2024 12:55:12 AM,1
26106F,Pay After Delivery,Irbid,كلوي ستاتي ٥٠/ هديه,12,1٫75,yes,10/28/2024 12:55:12 AM,2
26108F,Pay After Delivery,Ajlun,كريد افنتوس١٠٠/ يو ٥٠/ سي احمر ١٠٠/ بيربري جوديس ٥٠,34,1٫75,yes,10/28/2024 12:55:12 AM,4
26109F,Pay After Delivery,Irbid,فندي  رجالي ١٠٠/يو١٠٠/بنتلي٥٠/ديورهوم انتنس ٥٠/ بنتلي١٠٠/ديور هوم انتنس٥٠/ يو ١٠٠/ فندي رجالي ٥٠,68,1٫75,yes,10/28/2024 12:55:12 AM,8
261010F,Pay After Delivery,Aqaba,جين بول جلتر١٠٠,19,1٫75,yes,10/28/2024 12:55:12 AM,1
261012F,Pay After Delivery,Amman,باد يوي ١٠٠/ يو ابسليوت ١٠٠/جنتل مان الاسود ٥٠/سبايس بومب اكستريم ٥٠,34,1٫5,No,10/28/2024 12:55:12 AM,4
261013F,Pay After Delivery,Amman,ارماني كود ١٠٠/ يو انتنسلي ١٠٠/ سكاندل بور هوم ٥٠/ سبايس بومب اكستريم ٥٠,34,1٫5,yes,10/28/2024 12:55:12 AM,4
261014F,Pay After Delivery,Amman,ليدي مليون ٥٠,0,1٫5,yes,10/28/2024 12:55:12 AM,1
261015F,Pay After Delivery,Zarqa,ديور هوم انتنس ١٠٠/سوفاج ١٠٠/رجالي ٥٠ عدد٢,34,1٫75,yes,10/28/2024 12:55:12 AM,4
261016F,Pay After Delivery,Amman,سوفاج ١٠٠/ يو ١٠٠/برايت كريستال٥٠عدد٢,34,1٫5,yes,10/28/2024 12:55:12 AM,4
261017F,Pay After Delivery,Amman,اكوا جيو بروفومو١٠٠,19,1٫5,yes,10/28/2024 12:55:12 AM,1
261018F,Pay After Delivery,Amman,ليبر انتنس١٠٠/ جفنشي ارستبل ١٠٠ماي واي ٥٠/ فيري سكسي٥٠,34,1٫5,yes,10/28/2024 12:55:12 AM,4
261019F,Pay After Delivery,Amman,يو انتنسلي ١٠٠,19,1٫5,No,10/28/2024 12:55:12 AM,1
261020F,Pay After Delivery,Amman,خمرة ١٠٠/ ديور هوم انتنس١٠٠/مس ديور ٥٩/يو انتنسلي٥٠,34,1٫5,yes,10/28/2024 12:55:12 AM,4
261021F,Pay After Delivery,Amman,كريد افنتوس١٠٠/ سوفاج ٥٠/جغنشس فير ي ارستبل١٠٠/ كوكو مدموزيل ٥٠,34,1٫5,yes,10/28/2024 12:55:12 AM,4
261022F,Pay After Delivery,Amman,جست ١٠٠/ سي احمر ١٠٠/جود جيرل ٥٠/ سوفاج ٥٠,34,1٫5,yes,10/28/2024 12:55:12 AM,4
261023F,Pay After Delivery,North Aghwar,بويزن ١٠٠ عذد٢/ ليبر انتنس٥٠/ بلاك اوبيوم ٥٠,34,1٫75,yes,10/28/2024 12:55:12 AM,4
261024F,Pay After Delivery,Amman,ليبر انتنس ١٠٠/ لانترد ١٠٠/ بويزن ٥٠/ سي احمر ٥٠,34,1٫5,yes,10/28/2024 12:55:12 AM,4
261025F,Pay After Delivery,Russeifa,ادنهل احمر ١٠٠,0,1٫75,yes,10/28/2024 12:55:12 AM,1
261026F,Pay After Delivery,Amman,فلانتينو اومو انتنس٥٠/ جوتشي بلوم ٥٠,22,1٫5,yes,10/28/2024 12:55:12 AM,2
26101z,Pay After Delivery,Amman,100مل 212 رجالي +100مل ذا ون رجالي +50مل سوفاج +50مل كريد افنتوس ,34,1٫5,yes,10/28/2024 12:55:12 AM,4
26102z,Pay After Delivery,Irbid,100مل سكاندل رجالي +50مل عود فور جريتنز+50مل لاهوم اف سان لوران ,25,1٫75,yes,10/28/2024 12:55:12 AM,3
26103z,Pay After Delivery,Irbid,100مل كول ووتر +100مل كريد افنتوس +50مل ليدي ميلون +50مل ارماني سي ,34,1٫75,yes,10/28/2024 12:55:12 AM,4
26104z,Pay After Delivery,Amman,100مل اولمبيا +100مل جادور ديور +50مل بلاك اوبيوم +50مل جود جيرل ,34,1٫5,yes,10/28/2024 12:55:12 AM,4
26105z,Pay After Delivery,Amman,100مل كريد افنتوس عدد 2 ,0,1٫5,yes,10/28/2024 12:55:12 AM,2
26106z,Pay After Delivery,Rumtha,100مل سوفاج الكسير +100مل 212 vip رجالي بلاك +50مل سكاندل رجالي +50مل ديور هوم انتنس ,34,1٫75,yes,10/28/2024 12:55:12 AM,4
26107z,Pay After Delivery,Zarqa,100مل ايروس +100مل جان بول لو ميل الكسير +50مل ايفوريا مان انتنس+50مل ماي واي ,34,1٫75,yes,10/28/2024 12:55:12 AM,4
26108z,Pay After Delivery,Amman,100مل جان بول لو ميل بيرفيوم ,17,1٫5,yes,10/28/2024 12:55:12 AM,1
26109z,Pay After Delivery,Zarqa,100مل ايلين +100مل كوكو مدموزيل +50مل نيشان باريس +50مل جيرلان مون ,34,1٫75,yes,10/28/2024 12:55:12 AM,4
261010z,Pay After Delivery,Salt,100مل لايتون +100مل اكوا دي جيو بروفومو +50مل لا هوم اف سان لوران +50مل خمرة ,34,1٫75,yes,10/28/2024 12:55:12 AM,4
261011z,Pay After Delivery,Amman,50مل جود جيرل ,10,1٫5,yes,10/28/2024 12:55:12 AM,1
261012z,Pay After Delivery,Zarqa,100مل سوفاج ,17,1٫75,yes,10/28/2024 12:55:12 AM,1
261013z,Pay After Delivery,Amman,100مل انفكتوس جولوجن +100مل سكاندل رجالي +50مل انفكتوس جولوجن +50مل سكاندل رجالي ,0,1٫5,No,10/28/2024 12:55:12 AM,4
261014z,Pay After Delivery,Amman,100مل عود فور جريتنز +100مل توم فورد اومبير ليذر +50مل لاهوم اف سان +50مل بربري هيرو ,34,1٫5,yes,10/28/2024 12:55:12 AM,4
261015z,Pay After Delivery,Irbid,100مل فرزاتشي كريستال نوار +50مل غوتشي فلورا ,0,1٫75,yes,10/28/2024 12:55:12 AM,2
RTN26105z,Pay After Delivery,Amman,100مل كريد افنتوس عدد 2 ,0,1٫5,No,10/28/2024 12:28:36 PM,2
RTN261025F,Pay After Delivery,Russeifa,ادنهل احمر ١٠٠,0,1٫75,No,10/28/2024 1:18:04 PM,1
RTN26105F,Pay After Delivery,Rumtha,عود اصفهان ٥٠,0,1٫75,No,10/28/2024 2:07:40 PM,1
27102F,Pay After Delivery,Amman,انفكتوس١٠٠/ جادور ١٠٠,0,1٫5,yes,10/28/2024 11:26:38 PM,2
27103F,Pay After Delivery,Irbid,امواج انترلود ٥٠/ليجند ٥٠/ الور سبورت ٥٠/ ديور هوم انتنس٥٠,32,1٫75,yes,10/28/2024 11:26:38 PM,4
27104F,Pay After Delivery,Amman,بلو شانيل ١٠٠/باد بوي١٠٠/ واي ٥٠/ سكاندل ستاتي٥٠,34,1٫5,yes,10/28/2024 11:26:38 PM,4
27105F,Pay After Delivery,Amman,كريد وايت ١٠٠,19,1٫5,yes,10/28/2024 11:26:38 PM,1
28106F,Pay After Delivery,Amman,دي مارلي بريسفال ١٠٠+ ٥٠/ مونتال روز مسك ١٠٠+ ٥٠,34,1٫5,yes,10/28/2024 11:26:38 PM,4
27107F,Pay After Delivery,Amman,بلو شانيل ١٠٠,19,1٫5,yes,10/28/2024 11:26:38 PM,1
27108F,Pay After Delivery,Amman,يو انتنسلي١٠٠/توباكو فانيلا١٠٠/ريد توباكو٥٠/ايروس٥٠,34,1٫5,yes,10/28/2024 11:26:38 PM,4
27109F,Pay After Delivery,Amman,الترا ميل ٥٠,12,1٫5,yes,10/28/2024 11:26:38 PM,1
271010F,Pay After Delivery,Zarqa,امبر ليذر ١٠٠/توم فورد نوير اكستريم ١٠٠/ديور هوم انتنس ١٠٠/برادا لاهوم انتنس ١٠٠/ اف سان لوران لانوت الازرق ١٠٠/ كل عبوه بكيس,60,1٫75,yes,10/28/2024 11:26:38 PM,5
271012F,Pay After Delivery,Amman,سوفاج ٥٠,0,1٫5,yes,10/28/2024 11:26:38 PM,1
271013F,Pay After Delivery,Amman,بلجري تايجر ١٠٠ عدد٢/ ٢١٢ روز ٥٠/ذا ون ٥٠/جمتل مان ٥٠/سبايس بومب اكستريم ٥٠/الور هوم١٠٠/,0,1٫5,yes,10/28/2024 11:26:38 PM,7
271014F,Pay After Delivery,Aqaba,توباكو فانيلا ١٠٠/ سبايس برمب اكستريم ١٠٠/ ليبر انتنس ٥٠/ الترا ميل ٥٠,34,1٫75,yes,10/28/2024 11:26:38 PM,4
271015F,Pay After Delivery,Amman,يو انتنسلي ٥٠,12,1٫5,yes,10/28/2024 11:26:38 PM,1
271016F,Pay After Delivery,Zarqa,سكاندل ابسولو ٥٠/برليت كريستال٥٠,2,1٫75,No,10/28/2024 11:26:38 PM,2
271017F,Pay After Delivery,Irbid,تركسيدو ١٠٠/كريد افنتوس١٠٠/ذا ون ٥٠/توكسيدو ٥٠,34,1٫75,yes,10/28/2024 11:26:38 PM,4
271018F,Pay After Delivery,Amman,بويزن ٥٠,0,1٫5,yes,10/28/2024 11:26:38 PM,1
271020F,Pay After Delivery,Amman,بولو بلاك ١٠٠/موست وانتيد ١٠٠/بلو شانيل ٥٠/ الترا ميل ٥٠,34,1٫5,yes,10/28/2024 11:26:38 PM,4
271021F,Pay After Delivery,Amman,بلو شانيل ١٠٠,0,1٫5,yes,10/28/2024 11:26:38 PM,1
271022F,Pay After Delivery,Amman,ليميل الكسير ١٠٠/الترا ميل ١٠٠/ بلاك اوبيوم ٥٠/ايفوريا انتنس ستاتي٥٠,34,1٫5,yes,10/28/2024 11:26:38 PM,4
271023F,Pay After Delivery,Irbid,كريد افنتوس١٠٠/ريد توباكو١٠٩/ كريد فايكنج ٥٠/بيربري هيرو٥٠,34,1٫75,yes,10/28/2024 11:26:38 PM,4
271024F,Pay After Delivery,Madaba,الور سبورت ١٠٠/ ليب ملكي ٥٠,0,1٫75,yes,10/28/2024 11:26:38 PM,2
271025F,Pay After Delivery,Zarqa,بلغري تايجر ١٠٠,0,1٫75,yes,10/28/2024 11:26:38 PM,1
271026F,Pay After Delivery,Amman,خمرة ١٠٠/ سايد افكت٥٠/الي صعب الي ريحتو مش ورد ١٠٠/ ماي بيربري٥٠,34,1٫5,yes,10/28/2024 11:26:38 PM,4
271027F,Pay After Delivery,Madaba,جين بول ستاتي ١٠٠/ليبر انتنس١٠٠/ديلينا ٥٠/ ايفوريا انتنس ستاتي٥٠,34,1٫75,yes,10/28/2024 11:26:38 PM,4
271028F,Pay After Delivery,Amman,الترا ميل ١٠٠,19,1٫5,yes,10/28/2024 11:26:38 PM,1
271029F,Pay After Delivery,Amman,توم فورد عود وود ١٠٠,19,1٫5,yes,10/28/2024 11:26:38 PM,1
271030F,Pay After Delivery,Russeifa,توباكو فانيلا ١٠٠ عدد٢/ توباكو فانيلا ٥٠ عدد٢,34,1٫75,yes,10/28/2024 11:26:38 PM,4
271031F,Pay After Delivery,Amman,سوفاج ١٠٠/الين ١٠٠/ جوتشي فلورا ٥٠/ايفوريا انتنس ستاتي ٥٠,34,1٫5,yes,10/28/2024 11:26:38 PM,4
271032F,Pay After Delivery,Irbid,ريد توباكو ١٠٠/ليدي روز ١٠٠/ ذا ون ٥٠/ماي واي٥٠ ,34,1٫75,No,10/28/2024 11:26:38 PM,4
271033F,Pay After Delivery,Amman,"فهرنهايت ١٠٠/شانيل بلو ٢٠٠/ الترا ميل ١٠""",40,1٫5,No,10/28/2024 11:26:38 PM,3
271034F,Pay After Delivery,Amman,مونت بلانك ليجند١٠٠,19,1٫5,yes,10/28/2024 11:26:38 PM,1
271035F,Pay After Delivery,Zarqa,بلو شانيل ١٠٠/كريد افنتوس٥٠/لافي بيل ١٠٠/سي اسود ٥٠,34,1٫75,yes,10/28/2024 11:26:38 PM,4
271036F,Pay After Delivery,Petra ,كريد افنتوس١٠٠/ مونت بلانك اكسبلور ١٠٠/اوماف كلوبديذنيو انتنس رحالي١٠٩/كول واتر ستاتي ١٠٠/بويزن الخمريه ١٠٠/ هديه رحالي ,60,1٫75,yes,10/28/2024 11:26:38 PM,6
 27101w,Pay After Delivery,Irbid,100مل ماي واي +100مل جنتل مان جفنشي +50مل جادور ديور +50مل سوفاج ,34,1٫75,yes,10/28/2024 11:26:38 PM,4
27102w,Pay After Delivery,Amman,50مل جفنشي لانتردت عدد 2 ,0,1٫5,yes,10/28/2024 11:26:38 PM,2
27103w,Pay After Delivery,Amman,سانتال نوار ,0,1٫5,No,10/28/2024 11:26:38 PM,1
27104w,Pay After Delivery,Amman,100مل سترونجر ويذ يو انتتسلي +100مل جوب +50مل بولغاري مان +50مل ارماني كود,34,1٫5,yes,10/28/2024 11:26:38 PM,4
27105w,Pay After Delivery,Amman,100مل التراميل ,0,1٫5,yes,10/28/2024 11:26:38 PM,1
27106w,Pay After Delivery,Amman,سكاندل +ليبر +50مل توم فورد اومبير ليذر +50مل دولتشي غابانا ذا ون ,34,1٫5,yes,10/28/2024 11:26:38 PM,4
27107w,Pay After Delivery,Amman,100مل سوفاج +100مل سكاندل رجالي +100مل ايروس ,34,1٫5,yes,10/28/2024 11:26:39 PM,3
27108w,Pay After Delivery,Amman,100مل دي هيرمز +100مل ايلين +100مل كوكو مدموزيل +100مل سكاندل رجالي +ستاتي +بلاك اوبيوم ,0,1٫5,yes,10/28/2024 11:26:39 PM,6
27109w,Pay After Delivery,Amman,100مل ايسي مايكي,-10,1٫5,yes,10/28/2024 11:26:39 PM,1
271010w,Pay After Delivery,Amman,100مل كريد افنتوس +100مل بلو شانيل +50مل بلاك افغانو +50مل جنتل مان جفنشي برايف ,34,1٫5,yes,10/28/2024 11:26:39 PM,4
271011w,Pay After Delivery,Amman,100مل عود اصفهان +100مل غوتشي عود +50مل سوفاج +50مل بلو شانيل ,34,1٫5,yes,10/28/2024 11:26:39 PM,4
271012w,Pay After Delivery,Irbid,100مل سوفاج +100مل ايروس +50مل كريد افنتوس +50مل بلو شانيل ,34,1٫75,yes,10/28/2024 11:26:39 PM,4
271013w,Pay After Delivery,Amman,100مل لينترديت جفنشي +100مل ليبر +50مل سي احمر +50مل بويزن ,34,1٫5,No,10/28/2024 11:26:39 PM,4
271014w,Pay After Delivery,Mafraq,100مل كريد افنتوس +100مل لافي بيل ستاتي +50مل بلو شانيل +50مل مونت بلانك اكسبلور,34,1٫75,yes,10/28/2024 11:26:39 PM,4
271016w,Pay After Delivery,Amman,100مل سوفاج +100مل سي احمر,25,1٫5,yes,10/28/2024 11:26:39 PM,2
271017w,Pay After Delivery,Amman,100مل توباكو فانيلا ,17,1٫5,No,10/28/2024 11:26:39 PM,1
271018w,Pay After Delivery,Madaba,100مل سوفاج +100مل انفكتوس جولوجن +50مل كارتير باشا عدد 2 ,0,1٫75,yes,10/28/2024 11:26:39 PM,4
271021w,Pay After Delivery,Amman,100مل جان بول لو ميل الكسير ,0,1٫5,yes,10/28/2024 11:26:39 PM,1
271022w,Pay After Delivery,Salt,100مل فرزاتشي ديلان تركواز ,0,1٫75,yes,10/28/2024 11:26:39 PM,1
271023w,Pay After Delivery,Salt,100مل خمرة,-17,1٫75,yes,10/28/2024 11:26:39 PM,1
271024w,Pay After Delivery,Irbid,50مل شانيل باريس,10,1٫75,yes,10/28/2024 11:26:39 PM,1
271025w,Pay After Delivery,Amman,100مل بلاك اوبيوم عدد 2 +50مل فانتوم+50مل ماي بربري ,34,1٫5,yes,10/28/2024 11:26:39 PM,4
RTN271025F,Pay After Delivery,Zarqa,بلغري تايجر ١٠٠,0,1٫75,No,10/29/2024 10:42:51 AM,1
RTN27108w,Pay After Delivery,Amman,100مل دي هيرمز +100مل ايلين +100مل كوكو مدموزيل +100مل سكاندل رجالي +ستاتي +بلاك اوبيوم ,0,1٫5,No,10/29/2024 11:03:26 AM,6
RTN27105w,Pay After Delivery,Amman,100مل التراميل ,0,1٫5,No,10/29/2024 11:29:26 AM,1
RTN271021w,Pay After Delivery,Amman,100مل جان بول لو ميل الكسير ,0,1٫5,No,10/29/2024 1:04:23 PM,1
RTN271018F,Pay After Delivery,Amman,بويزن ٥٠,0,1٫5,No,10/29/2024 1:15:25 PM,1
RTN271023w,Pay After Delivery,Salt,100مل خمرة,18٫75,1٫75,No,10/29/2024 1:17:01 PM,1
RTN27102w,Pay After Delivery,Amman,50مل جفنشي لانتردت عدد 2 ,0,1٫5,No,10/29/2024 1:41:10 PM,2
RTN271018w,Pay After Delivery,Madaba,100مل سوفاج +100مل انفكتوس جولوجن +50مل كارتير باشا عدد 2 ,0,1٫75,No,10/29/2024 2:41:14 PM,4
RTN27102F,Pay After Delivery,Amman,انفكتوس١٠٠/ جادور ١٠٠,0,1٫5,No,10/29/2024 2:47:59 PM,2
RTN271024F,Pay After Delivery,Madaba,الور سبورت ١٠٠/ ليب ملكي ٥٠,0,1٫75,No,10/29/2024 3:28:00 PM,2
RTN271022w,Pay After Delivery,Salt,100مل فرزاتشي ديلان تركواز ,0,1٫75,No,10/29/2024 3:30:05 PM,1
RTN27109w,Pay After Delivery,Amman,100مل ايسي مايكي,11٫5,1٫5,No,10/29/2024 8:29:39 PM,1
28101F,Pay After Delivery,Amman,امبر نوماد ١٠٠/الكسير ١٠٠/يو انتنسلي ٥٠/ ارماني كود٥٠ الذهبي,34,1٫5,yes,10/29/2024 11:41:55 PM,4
28102F,Pay After Delivery,Madaba,رحالي١٠٠,0,1٫75,yes,10/29/2024 11:41:55 PM,1
28103F,Pay After Delivery,Zarqa,ديور هوم انتنس١٠٠/ديلينا ١٠٠/كريستال نوير ٥٠/ روبورتو كفالي٥٠,34,1٫75,yes,10/29/2024 11:41:55 PM,4
28104F,Pay After Delivery,Amman,سوفاج ١٠٠,19,1٫5,No,10/29/2024 11:41:55 PM,1
28105F,Pay After Delivery,Rumtha,ديور هوم انتنس ١٠٠,19,1٫75,yes,10/29/2024 11:41:55 PM,1
28106FF,Pay After Delivery,Salt,كريد افنتوس٥٠,10,1٫75,yes,10/29/2024 11:41:55 PM,1
28107F,Pay After Delivery,Amman,سكاندل بور هوم ١٠٠,0,1٫5,yes,10/29/2024 11:41:55 PM,1
28108F,Pay After Delivery,Zarqa,سكاندل بور هوم ١٠٠/ بلو شانيل ١٠٠/ سوفاج ٥٠/انفكتوس٥٠,34,1٫75,yes,10/29/2024 11:41:55 PM,4
28109F,Pay After Delivery,Amman,ليبر انتنس١٠٠/ بلاك اوبيوم ١٠٠/بيربري هير ٥٠/ ديلينا ٥٠,34,1٫5,yes,10/29/2024 11:41:55 PM,4
281010F,Pay After Delivery,Amman,بلاك اوركيد ١٠٠,19,1٫5,yes,10/29/2024 11:41:55 PM,1
281011F,Pay After Delivery,Amman,بويزن ١٠٠,0,1٫5,yes,10/29/2024 11:41:55 PM,1
